City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,2.16,81,100,5.75,RU,2024-09-15 04:24:54
1,inongo,-1.95,18.2667,20.37,98,45,1.72,CD,2024-09-15 04:24:55
2,port-aux-francais,-49.35,70.2167,0.56,63,90,14.13,TF,2024-09-15 04:24:56
3,puerto natales,-51.7236,-72.4875,2.91,93,62,7.35,CL,2024-09-15 04:24:57
4,recreo,-29.2818,-65.061,15.79,32,100,5.03,AR,2024-09-15 04:24:59
5,birobidzhan,48.8,132.95,19.8,37,29,3.8,RU,2024-09-15 04:25:00
6,hawaiian paradise park,19.5933,-154.9731,25.73,81,0,2.06,US,2024-09-15 04:25:01
7,nemuro,43.3236,145.575,16.86,89,100,5.28,JP,2024-09-15 04:25:02
8,ancud,-41.8697,-73.8203,7.53,90,83,2.32,CL,2024-09-15 04:25:03
9,kapuskasing,49.4169,-82.4331,18.0,82,40,2.06,CA,2024-09-15 04:25:04
10,colares,38.7992,-9.4469,21.88,59,68,4.97,PT,2024-09-15 04:25:05
11,georgetown,5.4112,100.3354,30.97,67,20,2.57,MY,2024-09-15 04:25:06
12,kupang,-10.1667,123.5833,37.32,14,20,8.23,ID,2024-09-15 04:25:07
13,hermanus,-34.4187,19.2345,10.45,89,74,4.7,ZA,2024-09-15 04:25:08
14,havelian,34.0536,73.1657,25.68,54,2,1.13,PK,2024-09-15 04:25:09
15,lebu,-37.6167,-73.65,8.53,81,92,6.39,CL,2024-09-15 04:25:11
16,el nido,11.1858,119.3956,25.64,94,100,1.34,PH,2024-09-15 04:25:12
17,ad dilam,23.9915,47.1627,30.22,27,1,2.58,SA,2024-09-15 04:25:13
18,carnarvon,-24.8667,113.6333,28.39,26,0,8.34,AU,2024-09-15 04:25:14
19,bredasdorp,-34.5322,20.0403,11.24,92,52,2.11,ZA,2024-09-15 04:25:15
20,afaahiti,-17.75,-149.2833,24.23,86,26,4.67,PF,2024-09-15 04:25:16
21,margaret river,-33.95,115.0667,19.1,42,0,4.15,AU,2024-09-15 04:24:27
22,itacarambi,-15.1022,-44.0919,22.04,43,3,0.7,BR,2024-09-15 04:25:18
23,ilulissat,69.2167,-51.1,-0.99,100,100,0.0,GL,2024-09-15 04:25:20
24,hadibu,12.65,54.0333,25.62,83,83,8.49,YE,2024-09-15 04:25:21
25,adamstown,-25.066,-130.1015,19.71,70,59,6.62,PN,2024-09-15 04:25:23
26,mukalla,14.5425,49.1242,27.23,78,95,2.07,YE,2024-09-15 04:25:24
27,polyarnyy,69.1989,33.4478,9.83,83,100,0.93,RU,2024-09-15 04:25:25
28,ust-nera,64.5667,143.2,6.35,72,89,3.23,RU,2024-09-15 04:25:26
29,edinburgh of the seven seas,-37.0676,-12.3116,12.71,80,53,7.86,SH,2024-09-15 04:25:27
30,blackmans bay,-43.0167,147.3167,11.07,58,71,0.89,AU,2024-09-15 04:25:28
31,waitangi,-43.9535,-176.5597,11.01,98,100,3.58,NZ,2024-09-15 04:25:29
32,aquiraz,-3.9014,-38.3911,26.05,81,11,6.11,BR,2024-09-15 04:25:30
33,bandon,51.7469,-8.7425,14.77,97,100,6.41,IE,2024-09-15 04:25:31
34,stanley,54.868,-1.6985,14.04,84,75,3.6,GB,2024-09-15 04:25:32
35,guayaramerin,-10.8368,-65.3614,27.5,30,39,0.94,BO,2024-09-15 04:25:33
36,kununurra,-15.7667,128.7333,34.99,12,8,3.6,AU,2024-09-15 04:24:25
37,albany,42.6001,-73.9662,18.58,73,3,1.1,US,2024-09-15 04:25:36
38,lazaro cardenas,17.9583,-102.2,27.52,82,100,1.47,MX,2024-09-15 04:25:37
39,port elizabeth,-33.918,25.5701,16.84,96,100,3.6,ZA,2024-09-15 04:25:38
40,tindwari,25.6167,80.5333,29.87,62,54,4.97,IN,2024-09-15 04:25:39
41,puerto ayora,-0.7393,-90.3518,20.86,97,67,1.79,EC,2024-09-15 04:25:40
42,ushuaia,-54.8,-68.3,1.81,93,20,1.54,AR,2024-09-15 04:25:41
43,port alfred,-33.5906,26.891,15.66,93,92,0.45,ZA,2024-09-15 04:25:42
44,vorgashor,67.5833,63.95,14.45,83,22,6.3,RU,2024-09-15 04:25:43
45,bakanas,44.8081,76.2772,16.82,33,5,7.06,KZ,2024-09-15 04:25:44
46,ribeira grande,38.5167,-28.7,20.43,86,7,2.24,PT,2024-09-15 04:25:45
47,grytviken,-54.2811,-36.5092,-2.11,76,20,5.27,GS,2024-09-15 04:25:46
48,walvis bay,-22.9575,14.5053,10.64,92,2,5.51,NA,2024-09-15 04:25:48
49,iqaluit,63.7506,-68.5145,1.85,93,20,1.03,CA,2024-09-15 04:25:49
50,berezovyy,51.6667,135.7,19.42,33,4,1.02,RU,2024-09-15 04:25:50
51,banda aceh,5.5577,95.3222,29.97,63,100,7.62,ID,2024-09-15 04:25:51
52,dongcun,36.7767,121.1597,24.2,63,0,2.65,CN,2024-09-15 04:25:52
53,qamdo,31.1667,97.2333,16.78,41,38,1.99,CN,2024-09-15 04:25:53
54,cabo san lucas,22.8909,-109.9124,25.42,91,33,3.58,MX,2024-09-15 04:22:14
55,madison heights,42.4859,-83.1052,20.98,78,0,2.06,US,2024-09-15 04:25:55
56,vadso,70.0744,29.7487,6.09,93,100,1.54,NO,2024-09-15 04:25:57
57,aswan,24.0934,32.907,26.61,47,0,2.57,EG,2024-09-15 04:25:59
58,genhe,50.7833,121.5167,19.3,41,51,3.62,CN,2024-09-15 04:26:00
59,saipan,15.1355,145.701,30.39,79,75,8.23,MP,2024-09-15 04:26:01
60,ladhewala waraich,32.1566,74.117,29.76,57,0,0.91,PK,2024-09-15 04:26:02
61,west island,-12.1568,96.8225,28.99,70,98,6.17,CC,2024-09-15 04:26:03
62,monte alegre,-2.0078,-54.0692,26.13,60,4,1.54,BR,2024-09-15 04:26:04
63,punta arenas,-53.15,-70.9167,3.06,87,40,12.35,CL,2024-09-15 04:26:05
64,tazovsky,67.4667,78.7,3.32,58,31,1.68,RU,2024-09-15 04:26:06
65,rikaze,29.25,88.8833,16.98,35,41,0.63,CN,2024-09-15 04:26:07
66,nova sintra,14.8667,-24.7167,25.99,75,51,5.62,CV,2024-09-15 04:26:10
67,korsakov,46.6328,142.7813,19.91,56,4,5.52,RU,2024-09-15 04:26:11
68,bafq,31.6128,55.4107,24.4,29,11,5.06,IR,2024-09-15 04:26:12
69,codrington,-38.2667,141.9667,11.8,57,45,5.71,AU,2024-09-15 04:26:13
70,port colborne,42.9001,-79.2329,18.87,95,0,3.62,CA,2024-09-15 04:26:14
71,klyuchi,52.2667,79.1667,15.87,69,14,4.95,RU,2024-09-15 04:26:15
72,bethel,41.3712,-73.414,18.85,92,0,0.0,US,2024-09-15 04:26:16
73,yellowknife,62.456,-114.3525,12.45,83,75,2.57,CA,2024-09-15 04:26:17
74,conception bay south,47.4999,-52.9981,10.97,84,100,8.14,CA,2024-09-15 04:26:18
75,la sarre,48.8002,-79.1996,17.38,83,94,2.88,CA,2024-09-15 04:26:20
76,tazacorte,28.629,-17.9293,22.54,68,100,5.14,ES,2024-09-15 04:26:21
77,papatowai,-46.5619,169.4708,4.95,98,100,4.15,NZ,2024-09-15 04:26:22
78,arraial do cabo,-22.9661,-42.0278,21.78,91,43,1.63,BR,2024-09-15 04:26:23
79,baidoa,3.1138,43.6498,21.0,82,14,6.34,SO,2024-09-15 04:26:24
80,prince rupert,54.3161,-130.3201,11.83,99,0,3.09,CA,2024-09-15 04:22:35
81,sitka,57.0531,-135.33,12.94,76,20,2.57,US,2024-09-15 04:26:26
82,constantia,44.1833,28.65,13.38,57,59,6.28,RO,2024-09-15 04:24:05
